name,sourceBand,category,reason,suggestedKeyword
高师傅特色米粉汤包,骑行 5 分钟内,早餐类,高德可查到相近“高师傅汤粉店”但与文档店名不完全一致需确认是否同一家,高师傅特色米粉汤包 南昌
老刘汤粉店（月池路）,骑行 5 分钟内,早餐类,未取得稳定高德 POI 或坐标,老刘汤粉店 月池路 南昌
超越猪血汤炸酱面馆,骑行 5 分钟内,早餐类,当前只保留旧地址线索未取得稳定高德 POI 或坐标,超越猪血汤炸酱面馆 桃苑店
阿莲猪血粉,骑行 5 分钟内,早餐类,当前只保留旧地址线索未取得稳定高德 POI 或坐标,阿莲猪血粉丝 桃园住宅区店
百年老汤,骑行 5 分钟内,早餐类,当前只保留旧地址线索未取得稳定高德 POI 或坐标,百年老汤 桃园住宅区店
珊珊汤店,骑行 5 分钟内,早餐类,未取得稳定高德 POI 或坐标,珊珊汤店 南昌
章氏汤包店,骑行 5 分钟内,早餐类,未取得稳定高德 POI 或坐标,章氏汤包店 南昌
天津包子王,骑行 5 分钟内,早餐类,当前只保留旧地址线索未取得稳定高德 POI 或坐标,天津包子王 朝阳洲中路店
三眼井特色烧烤,骑行 5 分钟内,夜宵类,多门店或门牌线索不稳定需确认目标店,三眼井特色烧烤 仕中心80公馆店
田螺王烧烤,骑行 5 分钟内,夜宵类,船山店和老牌总店线索冲突需确认目标店,田螺王 船山店 南昌
南浦两室一厅,骑行 5 分钟内,中晚餐,当前只保留旧地址线索未取得稳定高德 POI 或坐标,南浦两室一厅 南浦路店
宏纪源赣南菜馆,骑行 5 分钟内,中晚餐,当前只保留旧地址线索未取得稳定高德 POI 或坐标,宏纪源赣南菜馆 抚河园小区店
农家腊味馆,骑行 5 分钟内,中晚餐,当前只保留旧地址线索未取得稳定高德 POI 或坐标,农家腊味馆 船山路店
小黄鱼滋味馆,骑行 5 分钟内,中晚餐,门牌线索不稳定需确认目标店,小黄鱼滋味馆 赣通路店
月月红汤粉店,骑行 10 分钟内,早餐类,未取得稳定高德 POI 或坐标,月月红汤粉店 南昌
良友小吃,骑行 10 分钟内,早餐类,店名泛化重名风险高,良友小吃 小笼包 南昌
